"C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"DE","Germany","2","Visit to friends/relatives","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"DE","Germany","2","Visit to friends/relatives","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"DE","Germany","2","Visit to friends/relatives","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","27"
"DE","Germany","2","Visit to friends/relatives","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"DE","Germany","2","Visit to friends/relatives","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"DE","Germany","2","Visit to friends/relatives","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","32"
"DE","Germany","2","Visit to friends/relatives","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"DE","Germany","2","Visit to friends/relatives","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"DE","Germany","2","Visit to friends/relatives","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","30"
"DE","Germany","2","Visit to friends/relatives","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"DE","Germany","2","Visit to friends/relatives","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"DE","Germany","2","Visit to friends/relatives","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","35"
"DE","Germany","2","Visit to friends/relatives","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"DE","Germany","2","Visit to friends/relatives","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"DE","Germany","2","Visit to friends/relatives","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","33"
"DE","Germany","2","Visit to friends/relatives","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"DE","Germany","3","Business","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"DE","Germany","3","Business","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"DE","Germany","3","Business","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","3","Business","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"DE","Germany","3","Business","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","21"
"DE","Germany","3","Business","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","3","Business","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"DE","Germany","3","Business","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","35"
"DE","Germany","3","Business","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","3","Business","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"DE","Germany","3","Business","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"DE","Germany","3","Business","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","3","Business","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"DE","Germany","3","Business","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","38"
"DE","Germany","3","Business","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","3","Business","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"DE","Germany","3","Business","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","43"
"DE","Germany","3","Business","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","3","Business","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"DE","Germany","3","Business","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","43"
"DE","Germany","3","Business","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","3","Business","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"DE","Germany","3","Business","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","54"
"DE","Germany","3","Business","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","3","Business","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"DE","Germany","3","Business","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","55"
"DE","Germany","3","Business","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","4","Other reason for journey","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","17"
"DE","Germany","4","Other reason for journey","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","57"
"DE","Germany","4","Other reason for journey","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"DE","Germany","4","Other reason for journey","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","24.2"
"DE","Germany","4","Other reason for journey","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","30"
"DE","Germany","4","Other reason for journey","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","4","Other reason for journey","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","25.7"
"DE","Germany","4","Other reason for journey","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"DE","Germany","4","Other reason for journey","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"DE","Germany","4","Other reason for journey","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","24.4"
"DE","Germany","4","Other reason for journey","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","33"
"DE","Germany","4","Other reason for journey","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"DE","Germany","4","Other reason for journey","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","29.1"
"DE","Germany","4","Other reason for journey","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","38"
"DE","Germany","4","Other reason for journey","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","4","Other reason for journey","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","18.2"
"DE","Germany","4","Other reason for journey","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"DE","Germany","4","Other reason for journey","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","4","Other reason for journey","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.3"
"DE","Germany","4","Other reason for journey","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
"DE","Germany","4","Other reason for journey","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"DE","Germany","4","Other reason for journey","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.9"
"DE","Germany","4","Other reason for journey","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","34"
"DE","Germany","4","Other reason for journey","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"DE","Germany","4","Other reason for journey","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.8"
"DE","Germany","4","Other reason for journey","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","38"
"DE","Germany","4","Other reason for journey","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"FR","France","-","All reasons for journey","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.3"
"FR","France","-","All reasons for journey","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","197"
"FR","France","-","All reasons for journey","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"FR","France","-","All reasons for journey","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.2"
"FR","France","-","All reasons for journey","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","189"
"FR","France","-","All reasons for journey","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"FR","France","-","All reasons for journey","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"FR","France","-","All reasons for journey","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","200"
"FR","France","-","All reasons for journey","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"FR","France","-","All reasons for journey","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"FR","France","-","All reasons for journey","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","202"
"FR","France","-","All reasons for journey","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"FR","France","-","All reasons for journey","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"FR","France","-","All reasons for journey","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","236"
"FR","France","-","All reasons for journey","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"FR","France","-","All reasons for journey","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.4"
"FR","France","-","All reasons for journey","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","274"
"FR","France","-","All reasons for journey","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"FR","France","-","All reasons for journey","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.3"
"FR","France","-","All reasons for journey","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","295"
"FR","France","-","All reasons for journey","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"FR","France","-","All reasons for journey","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"FR","France","-","All reasons for journey","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","291"
"FR","France","-","All reasons for journey","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"FR","France","-","All reasons for journey","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"FR","France","-","All reasons for journey","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","268"
"FR","France","-","All reasons for journey","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"FR","France","1","Holiday/leisure/recreation","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"FR","France","1","Holiday/leisure/recreation","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","113"
"FR","France","1","Holiday/leisure/recreation","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"FR","France","1","Holiday/leisure/recreation","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"FR","France","1","Holiday/leisure/recreation","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","120"
"FR","France","1","Holiday/leisure/recreation","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"FR","France","1","Holiday/leisure/recreation","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"FR","France","1","Holiday/leisure/recreation","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","118"
"FR","France","1","Holiday/leisure/recreation","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"FR","France","1","Holiday/leisure/recreation","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"FR","France","1","Holiday/leisure/recreation","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","118"
"FR","France","1","Holiday/leisure/recreation","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"FR","France","1","Holiday/leisure/recreation","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"FR","France","1","Holiday/leisure/recreation","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","149"
"FR","France","1","Holiday/leisure/recreation","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"FR","France","1","Holiday/leisure/recreation","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"FR","France","1","Holiday/leisure/recreation","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","175"
"FR","France","1","Holiday/leisure/recreation","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"FR","France","1","Holiday/leisure/recreation","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"FR","France","1","Holiday/leisure/recreation","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","187"
"FR","France","1","Holiday/leisure/recreation","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"FR","France","1","Holiday/leisure/recreation","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"FR","France","1","Holiday/leisure/recreation","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","183"
"FR","France","1","Holiday/leisure/recreation","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"FR","France","1","Holiday/leisure/recreation","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"FR","France","1","Holiday/leisure/recreation","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","170"
"FR","France","1","Holiday/leisure/recreation","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"FR","France","2","Visit to friends/relatives","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"FR","France","2","Visit to friends/relatives","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"FR","France","2","Visit to friends/relatives","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"FR","France","2","Visit to friends/relatives","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"FR","France","2","Visit to friends/relatives","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","21"
"FR","France","2","Visit to friends/relatives","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"FR","France","2","Visit to friends/relatives","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"FR","France","2","Visit to friends/relatives","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","19"
"FR","France","2","Visit to friends/relatives","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"FR","France","2","Visit to friends/relatives","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"FR","France","2","Visit to friends/relatives","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","25"
"FR","France","2","Visit to friends/relatives","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"FR","France","2","Visit to friends/relatives","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"FR","France","2","Visit to friends/relatives","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"FR","France","2","Visit to friends/relatives","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"FR","France","2","Visit to friends/relatives","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"FR","France","2","Visit to friends/relatives","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","29"
"FR","France","2","Visit to friends/relatives","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"FR","France","2","Visit to friends/relatives","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"FR","France","2","Visit to friends/relatives","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"FR","France","2","Visit to friends/relatives","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"FR","France","2","Visit to friends/relatives","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"FR","France","2","Visit to friends/relatives","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"FR","France","2","Visit to friends/relatives","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"FR","France","2","Visit to friends/relatives","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"FR","France","2","Visit to friends/relatives","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","29"
"FR","France","2","Visit to friends/relatives","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"FR","France","3","Business","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"FR","France","3","Business","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"FR","France","3","Business","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"FR","France","3","Business","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"FR","France","3","Business","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","27"
"FR","France","3","Business","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"FR","France","3","Business","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"FR","France","3","Business","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","26"
"FR","France","3","Business","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"FR","France","3","Business","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"FR","France","3","Business","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"FR","France","3","Business","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"FR","France","3","Business","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"FR","France","3","Business","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","26"
"FR","France","3","Business","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"FR","France","3","Business","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"FR","France","3","Business","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"FR","France","3","Business","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"FR","France","3","Business","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.9"
"FR","France","3","Business","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
"FR","France","3","Business","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"FR","France","3","Business","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"FR","France","3","Business","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","34"
"FR","France","3","Business","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"FR","France","3","Business","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"FR","France","3","Business","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","32"
"FR","France","3","Business","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"FR","France","4","Other reason for journey","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","21.5"
"FR","France","4","Other reason for journey","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","29"
"FR","France","4","Other reason for journey","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"FR","France","4","Other reason for journey","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","21.4"
"FR","France","4","Other reason for journey","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","21"
"FR","France","4","Other reason for journey","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"FR","France","4","Other reason for journey","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","21"
"FR","France","4","Other reason for journey","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"FR","France","4","Other reason for journey","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"FR","France","4","Other reason for journey","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","19.3"
"FR","France","4","Other reason for journey","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","30"
"FR","France","4","Other reason for journey","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"FR","France","4","Other reason for journey","2015","2015","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","19.9"
"FR","France","4","Other reason for journey","2015","2015","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
"FR","France","4","Other reason for journey","2015","2015","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"FR","France","4","Other reason for journey","2016","2016","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","21.5"
"FR","France","4","Other reason for journey","2016","2016","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","40"
"FR","France","4","Other reason for journey","2016","2016","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"FR","France","4","Other reason for journey","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","21.9"
"FR","France","4","Other reason for journey","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","40"
"FR","France","4","Other reason for journey","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"FR","France","4","Other reason for journey","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","21.3"
"FR","France","4","Other reason for journey","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","43"
"FR","France","4","Other reason for journey","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"FR","France","4","Other reason for journey","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","20.6"
"FR","France","4","Other reason for journey","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
"FR","France","4","Other reason for journey","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"IT","Italy","-","All reasons for journey","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"IT","Italy","-","All reasons for journey","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","102"
"IT","Italy","-","All reasons for journey","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"IT","Italy","-","All reasons for journey","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"IT","Italy","-","All reasons for journey","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","108"
"IT","Italy","-","All reasons for journey","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"IT","Italy","-","All reasons for journey","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"IT","Italy","-","All reasons for journey","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","119"
"IT","Italy","-","All reasons for journey","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
