"C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All Countries","1","Holiday/leisure/recreation","2017","2017","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"-","All Countries","1","Holiday/leisure/recreation","2017","2017","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","2758"
"-","All Countries","1","Holiday/leisure/recreation","2017","2017","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","2018","2018","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"-","All Countries","1","Holiday/leisure/recreation","2018","2018","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3105"
"-","All Countries","1","Holiday/leisure/recreation","2018","2018","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","2019","2019","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"-","All Countries","1","Holiday/leisure/recreation","2019","2019","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3074"
"-","All Countries","1","Holiday/leisure/recreation","2019","2019","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","2011","2011","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"-","All Countries","2","Visit to friends/relatives","2011","2011","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","641"
"-","All Countries","2","Visit to friends/relatives","2011","2011","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","2012","2012","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"-","All Countries","2","Visit to friends/relatives","2012","2012","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","588"
"-","All Countries","2","Visit to friends/relatives","2012","2012","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","2013","2013","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"-","All Countries","2","Visit to friends/relatives","2013","2013","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","670"
"-","All Countries","2","Visit to friends/relatives","2013","2013","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","2","Visit to friends/relatives","2014","2014","TMA20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"-","All Countries","2","Visit to friends/relatives","2014","2014","TMA20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","784"
"-","All Countries","2","Visit to friends/relatives","2014","2014","TMA20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
