"C02173V02619","Area of Residence","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"DE","Germany","2017","2017","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","399"
"DE","Germany","2018","2018","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","818"
"DE","Germany","2018","2018","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"DE","Germany","2018","2018","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","467"
"DE","Germany","2019","2019","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","812"
"DE","Germany","2019","2019","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"DE","Germany","2019","2019","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","446"
"FR","France","2009","2009","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand",""
"FR","France","2009","2009","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights",""
"FR","France","2009","2009","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"FR","France","2010","2010","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand",""
"FR","France","2010","2010","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights",""
"FR","France","2010","2010","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"FR","France","2011","2011","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","401"
"FR","France","2011","2011","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.3"
"FR","France","2011","2011","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","197"
"FR","France","2012","2012","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","396"
"FR","France","2012","2012","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.2"
"FR","France","2012","2012","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","189"
"FR","France","2013","2013","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","434"
"FR","France","2013","2013","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"FR","France","2013","2013","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","200"
"FR","France","2014","2014","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","456"
"FR","France","2014","2014","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"FR","France","2014","2014","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","202"
"FR","France","2015","2015","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","505"
"FR","France","2015","2015","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"FR","France","2015","2015","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","236"
"FR","France","2016","2016","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","531"
"FR","France","2016","2016","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.4"
"FR","France","2016","2016","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","274"
"FR","France","2017","2017","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","549"
"FR","France","2017","2017","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.3"
"FR","France","2017","2017","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","295"
"FR","France","2018","2018","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","565"
"FR","France","2018","2018","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"FR","France","2018","2018","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","291"
"FR","France","2019","2019","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","577"
"FR","France","2019","2019","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"FR","France","2019","2019","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","268"
"IT","Italy","2009","2009","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand",""
"IT","Italy","2009","2009","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights",""
"IT","Italy","2009","2009","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"IT","Italy","2010","2010","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand",""
"IT","Italy","2010","2010","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights",""
"IT","Italy","2010","2010","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"IT","Italy","2011","2011","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","220"
"IT","Italy","2011","2011","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"IT","Italy","2011","2011","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","102"
"IT","Italy","2012","2012","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","252"
"IT","Italy","2012","2012","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"IT","Italy","2012","2012","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","108"
"IT","Italy","2013","2013","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","234"
"IT","Italy","2013","2013","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
