"C02173V02619","Area of Residence","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"ZZEURQ06","Other Europe (14)","2011","2011","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","580"
"ZZEURQ06","Other Europe (14)","2012","2012","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","1251"
"ZZEURQ06","Other Europe (14)","2012","2012","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.1"
"ZZEURQ06","Other Europe (14)","2012","2012","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","544"
"ZZEURQ06","Other Europe (14)","2013","2013","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","1312"
"ZZEURQ06","Other Europe (14)","2013","2013","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"ZZEURQ06","Other Europe (14)","2013","2013","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","629"
"ZZEURQ06","Other Europe (14)","2014","2014","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","1368"
"ZZEURQ06","Other Europe (14)","2014","2014","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"ZZEURQ06","Other Europe (14)","2014","2014","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","639"
"ZZEURQ06","Other Europe (14)","2015","2015","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","1588"
"ZZEURQ06","Other Europe (14)","2015","2015","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"ZZEURQ06","Other Europe (14)","2015","2015","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","771"
"ZZEURQ06","Other Europe (14)","2016","2016","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","1774"
"ZZEURQ06","Other Europe (14)","2016","2016","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"ZZEURQ06","Other Europe (14)","2016","2016","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","821"
"ZZEURQ06","Other Europe (14)","2017","2017","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","1888"
"ZZEURQ06","Other Europe (14)","2017","2017","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"ZZEURQ06","Other Europe (14)","2017","2017","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","883"
"ZZEURQ06","Other Europe (14)","2018","2018","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","2021"
"ZZEURQ06","Other Europe (14)","2018","2018","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"ZZEURQ06","Other Europe (14)","2018","2018","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","890"
"ZZEURQ06","Other Europe (14)","2019","2019","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","2129"
"ZZEURQ06","Other Europe (14)","2019","2019","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"ZZEURQ06","Other Europe (14)","2019","2019","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","959"
"ZZWORX18","Other countries (18)","2009","2009","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","304"
"ZZWORX18","Other countries (18)","2009","2009","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.3"
"ZZWORX18","Other countries (18)","2009","2009","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","309"
"ZZWORX18","Other countries (18)","2010","2010","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","311"
"ZZWORX18","Other countries (18)","2010","2010","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.5"
"ZZWORX18","Other countries (18)","2010","2010","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","287"
"ZZWORX18","Other countries (18)","2011","2011","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","216"
"ZZWORX18","Other countries (18)","2011","2011","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.4"
"ZZWORX18","Other countries (18)","2011","2011","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","154"
"ZZWORX18","Other countries (18)","2012","2012","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","223"
"ZZWORX18","Other countries (18)","2012","2012","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.9"
"ZZWORX18","Other countries (18)","2012","2012","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","155"
"ZZWORX18","Other countries (18)","2013","2013","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","248"
"ZZWORX18","Other countries (18)","2013","2013","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.1"
"ZZWORX18","Other countries (18)","2013","2013","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","191"
"ZZWORX18","Other countries (18)","2014","2014","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","284"
"ZZWORX18","Other countries (18)","2014","2014","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.8"
"ZZWORX18","Other countries (18)","2014","2014","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","244"
"ZZWORX18","Other countries (18)","2015","2015","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","331"
"ZZWORX18","Other countries (18)","2015","2015","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.1"
"ZZWORX18","Other countries (18)","2015","2015","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","283"
"ZZWORX18","Other countries (18)","2016","2016","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","346"
"ZZWORX18","Other countries (18)","2016","2016","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.6"
"ZZWORX18","Other countries (18)","2016","2016","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","319"
"ZZWORX18","Other countries (18)","2017","2017","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","411"
"ZZWORX18","Other countries (18)","2017","2017","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.5"
"ZZWORX18","Other countries (18)","2017","2017","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","370"
"ZZWORX18","Other countries (18)","2018","2018","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","433"
"ZZWORX18","Other countries (18)","2018","2018","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.4"
"ZZWORX18","Other countries (18)","2018","2018","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","369"
"ZZWORX18","Other countries (18)","2019","2019","TMA09C1","Overseas Trips to Ireland by Non-Residents","Thousand","473"
"ZZWORX18","Other countries (18)","2019","2019","TMA09C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.5"
"ZZWORX18","Other countries (18)","2019","2019","TMA09C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","377"
