"STATISTIC","Statistic Label","C02173V04143","Detailed Area of Residence","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ12","Overseas Trips to Ireland","ZZEURQ19","Other Europe (29)","20174","2017Q4","Thousand","200.2"
"TMQ12","Overseas Trips to Ireland","ZZEURQ19","Other Europe (29)","20181","2018Q1","Thousand","175.7"
"TMQ12","Overseas Trips to Ireland","ZZEURQ19","Other Europe (29)","20182","2018Q2","Thousand","253.8"
"TMQ12","Overseas Trips to Ireland","ZZEURQ19","Other Europe (29)","20183","2018Q3","Thousand","265"
"TMQ12","Overseas Trips to Ireland","ZZEURQ19","Other Europe (29)","20184","2018Q4","Thousand","218"
"TMQ12","Overseas Trips to Ireland","ZZEURQ19","Other Europe (29)","20191","2019Q1","Thousand","198.1"
"TMQ12","Overseas Trips to Ireland","ZZEURQ19","Other Europe (29)","20192","2019Q2","Thousand","285.9"
"TMQ12","Overseas Trips to Ireland","ZZEURQ19","Other Europe (29)","20193","2019Q3","Thousand","298.2"
"TMQ12","Overseas Trips to Ireland","ZZEURQ19","Other Europe (29)","20194","2019Q4","Thousand","251.3"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20101","2010Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20102","2010Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20103","2010Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20104","2010Q4","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20111","2011Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20112","2011Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20113","2011Q3","Thousand","70"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20114","2011Q4","Thousand","46.6"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20121","2012Q1","Thousand","43.6"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20122","2012Q2","Thousand","60.7"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20123","2012Q3","Thousand","67.9"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20124","2012Q4","Thousand","50.7"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20131","2013Q1","Thousand","42.5"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20132","2013Q2","Thousand","60.8"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20133","2013Q3","Thousand","85.9"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20134","2013Q4","Thousand","59"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20141","2014Q1","Thousand","51"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20142","2014Q2","Thousand","71.1"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20143","2014Q3","Thousand","97.5"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20144","2014Q4","Thousand","64.3"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20151","2015Q1","Thousand","57.3"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20152","2015Q2","Thousand","84.8"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20153","2015Q3","Thousand","107.7"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20154","2015Q4","Thousand","81.3"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20161","2016Q1","Thousand","64.1"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20162","2016Q2","Thousand","85.5"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20163","2016Q3","Thousand","117"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20164","2016Q4","Thousand","79.1"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20171","2017Q1","Thousand","75.8"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20172","2017Q2","Thousand","115"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20173","2017Q3","Thousand","134.8"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20174","2017Q4","Thousand","85.2"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20181","2018Q1","Thousand","77.5"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20182","2018Q2","Thousand","111.9"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20183","2018Q3","Thousand","149.2"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20184","2018Q4","Thousand","93.7"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20191","2019Q1","Thousand","87.8"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20192","2019Q2","Thousand","127.1"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20193","2019Q3","Thousand","154.6"
"TMQ12","Overseas Trips to Ireland","ZZWORX28","Other Areas  (28)","20194","2019Q4","Thousand","103.1"
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20101","2010Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20102","2010Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20103","2010Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20104","2010Q4","Thousand","45"
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20111","2011Q1","Thousand","44.2"
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20112","2011Q2","Thousand","54.7"
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20113","2011Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20114","2011Q4","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20121","2012Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20122","2012Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20123","2012Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20124","2012Q4","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20131","2013Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20132","2013Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20133","2013Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20134","2013Q4","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20141","2014Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20142","2014Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20143","2014Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20144","2014Q4","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20151","2015Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20152","2015Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20153","2015Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20154","2015Q4","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20161","2016Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20162","2016Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20163","2016Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20164","2016Q4","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20171","2017Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20172","2017Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20173","2017Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20174","2017Q4","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20181","2018Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20182","2018Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20183","2018Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20184","2018Q4","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20191","2019Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20192","2019Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20193","2019Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX29","Other Areas (29)","20194","2019Q4","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20101","2010Q1","Thousand","35.1"
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20102","2010Q2","Thousand","42.1"
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20103","2010Q3","Thousand","60.3"
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20104","2010Q4","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20111","2011Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20112","2011Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20113","2011Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20114","2011Q4","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20121","2012Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20122","2012Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20123","2012Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20124","2012Q4","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20131","2013Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20132","2013Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20133","2013Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20134","2013Q4","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20141","2014Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20142","2014Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20143","2014Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20144","2014Q4","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20151","2015Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20152","2015Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20153","2015Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20154","2015Q4","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20161","2016Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20162","2016Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20163","2016Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20164","2016Q4","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20171","2017Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20172","2017Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20173","2017Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20174","2017Q4","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20181","2018Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20182","2018Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20183","2018Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20184","2018Q4","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20191","2019Q1","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20192","2019Q2","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20193","2019Q3","Thousand",""
"TMQ12","Overseas Trips to Ireland","ZZWORX30","Other Areas (30)","20194","2019Q4","Thousand",""
