"C02196V02652","State","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"-","State","19912","1991Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","394"
"-","State","19912","1991Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","218"
"-","State","19913","1991Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","663"
"-","State","19913","1991Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","353"
"-","State","19914","1991Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","288"
"-","State","19914","1991Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","169"
"-","State","19921","1992Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","211"
"-","State","19921","1992Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","164"
"-","State","19922","1992Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","428"
"-","State","19922","1992Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","258"
"-","State","19923","1992Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","650"
"-","State","19923","1992Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","400"
"-","State","19924","1992Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","276"
"-","State","19924","1992Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","199"
"-","State","19931","1993Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","217"
"-","State","19931","1993Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","150"
"-","State","19932","1993Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","449"
"-","State","19932","1993Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","253"
"-","State","19933","1993Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","749"
"-","State","19933","1993Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","446"
"-","State","19934","1993Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","320"
"-","State","19934","1993Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","210"
"-","State","19941","1994Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","276"
"-","State","19941","1994Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","208"
"-","State","19942","1994Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","477"
"-","State","19942","1994Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","310"
"-","State","19943","1994Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","768"
"-","State","19943","1994Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","542"
"-","State","19944","1994Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","381"
"-","State","19944","1994Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","300"
"-","State","19951","1995Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","307"
"-","State","19951","1995Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","267"
"-","State","19952","1995Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","533"
"-","State","19952","1995Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","378"
"-","State","19953","1995Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","871"
"-","State","19953","1995Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","621"
"-","State","19954","1995Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","422"
"-","State","19954","1995Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","343"
"-","State","19961","1996Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","336"
"-","State","19961","1996Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","307"
"-","State","19962","1996Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","658"
"-","State","19962","1996Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","428"
"-","State","19963","1996Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","941"
"-","State","19963","1996Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","653"
"-","State","19964","1996Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","465"
"-","State","19964","1996Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","350"
"-","State","19971","1997Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","376"
"-","State","19971","1997Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","324"
"-","State","19972","1997Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","725"
"-","State","19972","1997Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","469"
"-","State","19973","1997Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1044"
"-","State","19973","1997Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","711"
"-","State","19974","1997Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","531"
"-","State","19974","1997Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","377"
"-","State","19981","1998Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","423"
"-","State","19981","1998Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","361"
"-","State","19982","1998Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","787"
"-","State","19982","1998Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","576"
"-","State","19983","1998Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1093"
"-","State","19983","1998Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","795"
"-","State","19984","1998Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","594"
"-","State","19984","1998Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","428"
"-","State","19991","1999Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","481"
"-","State","19991","1999Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","424"
"-","State","19992","1999Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","847"
"-","State","19992","1999Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","663"
"-","State","19993","1999Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1141"
"-","State","19993","1999Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","891"
"-","State","19994","1999Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","645"
"-","State","19994","1999Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","486"
"-","State","20001","2000Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","554"
"-","State","20001","2000Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","441"
"-","State","20002","2000Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","984"
"-","State","20002","2000Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","732"
"-","State","20003","2000Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1345"
"-","State","20003","2000Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1060"
"-","State","20004","2000Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","754"
"-","State","20004","2000Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","571"
"-","State","20011","2001Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","625"
"-","State","20011","2001Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","512"
"-","State","20012","2001Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1058"
"-","State","20012","2001Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","861"
"-","State","20013","2001Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1453"
"-","State","20013","2001Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1203"
"-","State","20014","2001Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","798"
"-","State","20014","2001Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","649"
"-","State","20021","2002Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","664"
"-","State","20021","2002Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","649"
"-","State","20022","2002Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1082"
"-","State","20022","2002Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","976"
"-","State","20023","2002Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1416"
"-","State","20023","2002Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1491"
"-","State","20024","2002Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","828"
"-","State","20024","2002Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","837"
"-","State","20031","2003Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","641"
"-","State","20031","2003Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","739"
"-","State","20032","2003Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1059"
"-","State","20032","2003Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1071"
"-","State","20033","2003Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1495"
"-","State","20033","2003Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1536"
"-","State","20034","2003Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","861"
"-","State","20034","2003Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","811"
"-","State","20041","2004Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","675"
"-","State","20041","2004Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","768"
"-","State","20042","2004Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1113"
"-","State","20042","2004Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1048"
"-","State","20043","2004Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1427"
"-","State","20043","2004Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1521"
"-","State","20044","2004Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","850"
"-","State","20044","2004Q4","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","842"
"-","State","20051","2005Q1","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","712"
"-","State","20051","2005Q1","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","876"
"-","State","20052","2005Q2","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1124"
"-","State","20052","2005Q2","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1152"
"-","State","20053","2005Q3","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","1506"
"-","State","20053","2005Q3","TMQ03C2","Expenditure of Irish Residents Abroad (including International fares)","Euro Million","1710"
"-","State","20054","2005Q4","TMQ03C1","Expenditure of Visitors to Ireland (excluding International fares)","Euro Million","929"
